Year,Quarter,Revenue,COGS,Sales_Marketing_Expense,GandA_Expense,R_and_D_Expense,Interest_Expense,Tax_Expense
2022,Q1,2000000,900000,420000,260000,120000,40000,65000
2022,Q2,2100000,945000,430000,265000,125000,40000,67000
2022,Q3,2250000,1012500,450000,270000,130000,41000,70000
2022,Q4,2400000,1080000,470000,275000,135000,41000,74000
2023,Q1,2550000,1147500,495000,285000,140000,42000,78000
2023,Q2,2700000,1215000,510000,290000,145000,42000,82000
2023,Q3,2850000,1282500,535000,295000,150000,43000,86000
2023,Q4,3050000,1372500,560000,305000,155000,43000,91000
2024,Q1,3250000,1462500,590000,315000,165000,45000,96000
2024,Q2,3450000,1552500,615000,320000,170000,45000,102000
2024,Q3,3700000,1665000,645000,330000,175000,46000,108000
2024,Q4,4000000,1800000,690000,340000,180000,46000,116000
